i,t,capcost,fom,vom,heatrate
fuel-cell,2010,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2011,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2012,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2013,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2014,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2015,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2016,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2017,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2018,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2019,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2020,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2021,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2022,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2023,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2024,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2025,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2026,915.4359831,28.64260592,1.630897862,6.408
fuel-cell,2027,901.8233159,28.43841591,1.630897862,6.408
fuel-cell,2028,884.1610342,28.17348168,1.630897862,6.408
fuel-cell,2029,860.0599686,27.8119657,1.630897862,6.408
fuel-cell,2030,826.872031,27.31414664,1.630897862,6.408
fuel-cell,2031,764.6856885,26.3813515,1.630897862,6.408
fuel-cell,2032,711.5385824,25.58414491,1.630897862,6.408
fuel-cell,2033,681.8062874,25.13816048,1.630897862,6.408
fuel-cell,2034,625.3640518,24.29152695,1.630897862,6.408
fuel-cell,2035,593.8404196,23.81867246,1.630897862,6.408
fuel-cell,2036,586.0270507,23.70147193,1.630897862,6.408
fuel-cell,2037,579.8977764,23.60953282,1.630897862,6.408
fuel-cell,2038,574.8058218,23.5331535,1.630897862,6.408
fuel-cell,2039,570.0305598,23.46152457,1.630897862,6.408
fuel-cell,2040,565.5018815,23.39359439,1.630897862,6.408
fuel-cell,2041,561.3277544,23.33098249,1.630897862,6.408
fuel-cell,2042,557.4894181,23.27340744,1.630897862,6.408
fuel-cell,2043,553.5842635,23.21483012,1.630897862,6.408
fuel-cell,2044,550.3203695,23.16587171,1.630897862,6.408
fuel-cell,2045,546.9703592,23.11562156,1.630897862,6.408
fuel-cell,2046,543.6351978,23.06559414,1.630897862,6.408
fuel-cell,2047,540.7028405,23.02160878,1.630897862,6.408
fuel-cell,2048,538.0918634,22.98244412,1.630897862,6.408
fuel-cell,2049,535.3187287,22.9408471,1.630897862,6.408
fuel-cell,2050,532.6522915,22.90085054,1.630897862,6.408
